# Total Energy along IRC
# X-Axis:  Intrinsic Reaction Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
       -8.3886700000     -515.4161637990
       -8.1081800000     -515.4160541600
       -7.8276700000     -515.4159220700
       -7.5471700000     -515.4157644880
       -7.2666300000     -515.4155780320
       -6.9861200000     -515.4153589700
       -6.7056000000     -515.4151035950
       -6.4250800000     -515.4148077860
       -6.1445500000     -515.4144670110
       -5.8640100000     -515.4140761970
       -5.5834800000     -515.4136295280
       -5.3029600000     -515.4131210560
       -5.0224200000     -515.4125443550
       -4.7418900000     -515.4118929250
       -4.4613500000     -515.4111602410
       -4.1808200000     -515.4103396910
       -3.9002800000     -515.4094253930
       -3.6197400000     -515.4084121640
       -3.3392100000     -515.4072967010
       -3.0586700000     -515.4060784480
       -2.7781300000     -515.4047600600
       -2.4976000000     -515.4033494170
       -2.2170700000     -515.4018600790
       -1.9365600000     -515.4003140280
       -1.6560300000     -515.3987451600
       -1.3755400000     -515.3971996580
       -1.0950900000     -515.3957456100
       -0.8147700000     -515.3944683650
       -0.5344700000     -515.3934820490
       -0.2806000000     -515.3927397900
        0.0000000000     -515.3926499600
        0.2806000000     -515.3932490160
        0.5485100000     -515.3947473920
        0.8288500000     -515.3970230320
        1.1093100000     -515.4002575170
        1.3897900000     -515.4044397100
        1.6703000000     -515.4095024520
        1.9508300000     -515.4153321860
        2.2313500000     -515.4217885350
        2.5118800000     -515.4287089190
        2.7924000000     -515.4359165450
        3.0729300000     -515.4432227680
        3.3534700000     -515.4504244590
        3.6340000000     -515.4573062270
        3.9145200000     -515.4636389850
        4.1950300000     -515.4691858470
        4.4754900000     -515.4737210490
        4.7558700000     -515.4770698230
        5.0355400000     -515.4792305870
        5.3135800000     -515.4805072790
        5.5922500000     -515.4813396070
        5.8718500000     -515.4819412190
        6.1518800000     -515.4823709980
        6.4314300000     -515.4826666840
        6.7106500000     -515.4828584200
        6.9897400000     -515.4829752350
        7.2688400000     -515.4830366520
